"scenario","method","log_BF","effect_size","sample_size"
"3","JZS",-0.639030731464753,"0.0","50"
"3","BFGC",-0.668285075661657,"0.0","50"
"3","JZS",-0.669557980552761,"0.0","50"
"3","BFGC",-0.700510766496678,"0.0","50"
"3","JZS",-0.639225175826138,"0.0","50"
"3","BFGC",-0.668741999040604,"0.0","50"
"1","JZS",0.104133285113382,"0.0","50"
"1","BFGC",0.105860561895439,"0.0","50"
"3","JZS",-0.551966422456085,"0.0","50"
"3","BFGC",-0.575035124818455,"0.0","50"
"3","JZS",-0.630622596836421,"0.0","50"
"3","BFGC",-0.659805489026831,"0.0","50"
"3","JZS",-0.607013692412192,"0.0","50"
"3","BFGC",-0.635012720812672,"0.0","50"
"3","JZS",-0.527594683350931,"0.0","50"
"3","BFGC",-0.550579794744219,"0.0","50"
"3","JZS",-0.40163782313086,"0.0","50"
"3","BFGC",-0.420011146708104,"0.0","50"
"3","JZS",-0.625721153758747,"0.0","50"
"3","BFGC",-0.65446651690639,"0.0","50"
"3","JZS",-0.643504366812134,"0.0","50"
"3","BFGC",-0.672791787002906,"0.0","50"
"3","JZS",-0.469097149911007,"0.0","50"
"3","BFGC",-0.489912996422897,"0.0","50"
"3","JZS",-0.391471681263145,"0.0","50"
"3","BFGC",-0.409362269115244,"0.0","50"
"3","JZS",-0.676089884704655,"0.0","50"
"3","BFGC",-0.707458992112814,"0.0","50"
"1","JZS",-0.671506355498647,"0.0","50"
"1","BFGC",-0.702639467934154,"0.0","50"
"3","JZS",-0.650526484591618,"0.0","50"
"3","BFGC",-0.680361135460519,"0.0","50"
"3","JZS",-0.444725467140724,"0.0","50"
"3","BFGC",-0.464656719904222,"0.0","50"
"3","JZS",-0.645740774072869,"0.0","50"
"3","BFGC",-0.675540186170751,"0.0","50"
"3","JZS",-0.508143574926689,"0.0","50"
"3","BFGC",-0.531674186519785,"0.0","50"
"3","JZS",-0.593163368767681,"0.0","50"
"3","BFGC",-0.620572445401498,"0.0","50"
"3","JZS",-0.590122176705285,"0.0","50"
"3","BFGC",-0.616608963796884,"0.0","50"
"3","JZS",-0.605158575462572,"0.0","50"
"3","BFGC",-0.633008054030435,"0.0","50"
"3","JZS",-0.651444772493072,"0.0","50"
"3","BFGC",-0.681343692311423,"0.0","50"
"3","JZS",0.139986959113345,"0.0","50"
"3","BFGC",0.142116547006967,"0.0","50"
"3","JZS",-0.674611194012946,"0.0","50"
"3","BFGC",-0.705889332542099,"0.0","50"
"1","JZS",-0.503022203348618,"0.0","50"
"1","BFGC",-0.526353421366113,"0.0","50"
"3","JZS",-0.652418904368221,"0.0","50"
"3","BFGC",-0.682593500153491,"0.0","50"
"3","JZS",-0.652200874309699,"0.0","50"
"3","BFGC",-0.68203731119485,"0.0","50"
"3","JZS",-0.6761162750372,"0.0","50"
"3","BFGC",-0.707486666308314,"0.0","50"
"3","JZS",-0.669651520988989,"0.0","50"
"3","BFGC",-0.700584806594928,"0.0","50"
"3","JZS",0.532344347048125,"0.0","50"
"3","BFGC",0.542448244054627,"0.0","50"
"3","JZS",-0.665286955924098,"0.0","50"
"3","BFGC",-0.696054708387125,"0.0","50"
"3","JZS",0.104573537967725,"0.0","50"
"3","BFGC",0.104381322491826,"0.0","50"
"3","JZS",-0.675124016054648,"0.0","50"
"3","BFGC",-0.706429508811696,"0.0","50"
"3","JZS",-0.33750149206476,"0.0","50"
"3","BFGC",-0.352507809462932,"0.0","50"
"3","JZS",-0.562358406995974,"0.0","50"
"3","BFGC",-0.58765945244103,"0.0","50"
"1","JZS",-0.434303520611488,"0.0","50"
"1","BFGC",-0.454649380687329,"0.0","50"
"3","JZS",-0.27390202546162,"0.0","50"
"3","BFGC",-0.285985553007477,"0.0","50"
"3","JZS",-0.540228067897767,"0.0","50"
"3","BFGC",-0.562356070979525,"0.0","50"
"3","JZS",0.166057524850082,"0.0","50"
"3","BFGC",0.170916435144088,"0.0","50"
"3","JZS",-0.66723245150238,"0.0","50"
"3","BFGC",-0.69808103449873,"0.0","50"
"3","JZS",-0.657238990996374,"0.0","50"
"3","BFGC",-0.687578487602741,"0.0","50"
"3","JZS",-0.626359335257099,"0.0","50"
"3","BFGC",-0.655310120120208,"0.0","50"
"3","JZS",-0.676045333582459,"0.0","50"
"3","BFGC",-0.707410392916215,"0.0","50"
"3","JZS",-0.614832325960751,"0.0","50"
"3","BFGC",-0.642422667516991,"0.0","50"
"3","JZS",-0.635578995180818,"0.0","50"
"3","BFGC",-0.664455271651481,"0.0","50"
"3","JZS",-0.610948757556197,"0.0","50"
"3","BFGC",-0.638610930245022,"0.0","50"
"1","JZS",0.107669436946687,"0.0","50"
"1","BFGC",0.109507676802474,"0.0","50"
"1","JZS",0.0376085692236471,"0.0","50"
"1","BFGC",0.0348980900267076,"0.0","50"
"3","JZS",-0.558836363127563,"0.0","50"
"3","BFGC",-0.582946305218699,"0.0","50"
"3","JZS",-0.56448483207685,"0.0","50"
"3","BFGC",-0.588661750370795,"0.0","50"
"3","JZS",-0.132600653558417,"0.0","50"
"3","BFGC",-0.139691720785498,"0.0","50"
"3","JZS",-0.662143832179027,"0.0","50"
"3","BFGC",-0.692826277278959,"0.0","50"
"3","JZS",-0.60074759760017,"0.0","50"
"3","BFGC",-0.627682810276337,"0.0","50"
"3","JZS",-0.649384697707173,"0.0","50"
"3","BFGC",-0.679397844586316,"0.0","50"
"3","JZS",-0.659942624414607,"0.0","50"
"3","BFGC",-0.690471739598479,"0.0","50"
"3","JZS",-0.242792318012574,"0.0","50"
"3","BFGC",-0.253163803404586,"0.0","50"
"3","JZS",-0.288108646594537,"0.0","50"
"3","BFGC",-0.296509020092543,"0.0","50"
"3","JZS",-0.513634588680842,"0.0","50"
"3","BFGC",-0.53576599295358,"0.0","50"
"1","JZS",-0.598830696732003,"0.0","50"
"1","BFGC",-0.62634845813923,"0.0","50"
"3","JZS",0.00653165986442922,"0.0","50"
"3","BFGC",0.00270110208608358,"0.0","50"
"3","JZS",-0.449419069884006,"0.0","50"
"3","BFGC",-0.468471462388101,"0.0","50"
"3","JZS",-0.537734228227363,"0.0","50"
"3","BFGC",-0.561237027133721,"0.0","50"
"3","JZS",-0.670786028519744,"0.0","50"
"3","BFGC",-0.701798336445347,"0.0","50"
