"scenario","delta","rho","sdr","BF_robtt_mean","BF_robtt_median","BF_robtt_sd","BF_bain_student_mean","BF_bain_student_median","BF_bain_student_sd","BF_bain_welch_mean","BF_bain_welch_median","BF_bain_welch_sd","BF_bf_mean","BF_bf_median","BF_bf_sd"
1,0,0.673746257033501,0.695872331128908,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443577265088429,0.443577265088429,NA
1,0,0.673750423804998,0.695865735643533,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24169857505165,0.24169857505165,NA
1,0,0.674207609163513,0.695142183207406,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443637205525502,0.443637205525502,NA
1,0,0.675027753251866,0.69384477478677,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231832178909956,0.231832178909956,NA
1,0,0.675694546210839,0.69279049295883,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241899710790774,0.241899710790774,NA
1,0,0.675829702016097,0.692576853204794,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443848085750391,0.443848085750391,NA
1,0,0.676146663882123,0.692075910618218,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24194669262326,0.24194669262326,NA
1,0,0.676773726193473,0.691085184677779,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242011983662814,0.242011983662814,NA
1,0,0.67811433980607,0.688968475302989,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444145454438975,0.444145454438975,NA
1,0,0.678980449882077,0.687601960139872,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444258297279425,0.444258297279425,NA
1,0,0.679178550449615,0.687289513348076,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444284115769021,0.444284115769021,NA
1,0,0.68237089001826,0.682259989251715,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444700619604317,0.444700619604317,NA
1,0,0.683014538465258,0.68124714919201,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255572996698663,0.255572996698663,NA
1,0,0.683374680620249,0.680680608569354,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255623556153263,0.255623556153263,NA
1,0,0.683442365132435,0.680574147919529,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444840605221769,0.444840605221769,NA
1,0,0.684736671083168,0.678539188324782,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242854490162139,0.242854490162139,NA
1,0,0.685820676005517,0.67683609859337,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255968699573682,0.255968699573682,NA
1,0,0.686330285306823,0.676035827879463,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445218391582943,0.445218391582943,NA
1,0,0.686944724836593,0.675071256390153,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445298862916486,0.445298862916486,NA
1,0,0.688153670616847,0.673174416977626,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314806026026972,0.314806026026972,NA
1,0,0.688508370547251,0.672618143537301,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44550379789975,0.44550379789975,NA
1,0,0.688745200503037,0.672246787785657,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243288266641483,0.243288266641483,NA
